block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
23354103,2022-01-05 00:16:59,MINT,0xf4c4b5b394127277c3ddd3f28dd339b133ed0c81618f792f8bae23efd15ab3f7,82,304,305.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,3786770690,225940198973533561,1470266597379937811,10082568007089974,1286875469540711965137405541260739,193917.0,13285.0,193890.0,194040.0,10082568007089974
23354116,2022-01-05 00:18:01,SWAP,0x6d4aacfb88f84f74869947a05c542f83aa2c8e076666c3577d04267c4c9d3ae9,37,246,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2200000000,-580107936080756643,1470266597379937811,0,1286844209301298565943555031780329,193917.0,,,,
23354116,2022-01-05 00:18:01,SWAP,0x02fa57dd181c9b545d7028499e6ab7e02b9f6dc4ed2b9e7c516e5063802dbf29,38,262,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2200000000,-580079753287788273,1470266597379937811,0,1286812950580569536906035061560330,193916.0,,,,
23354118,2022-01-05 00:18:05,SWAP,0x316b784ee0e6961ef1734334b259e67287fd10019ac3f4fe555ccef0d53da854,24,120,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,-5703923479,1505531812425878309,1470266597379937811,0,1286894038513233024745573676322673,193917.0,,,,
23354156,2022-01-05 00:19:21,SWAP,0x83141dbbeeeb2ca0fcf4aad18a0703b39f71b1fd37a3342977ea0e229f88582a,33,257,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xc9d20533c5b8a79526377e5d05dc79b87b28e92f,-541671542,142982284202336684,1470266597379937811,0,1286901739538038863294432088894343,193918.0,,,,
23354172,2022-01-05 00:19:55,SWAP,0x7ef79025ae02f9256c598a30433b1dc498f26e6907927d11751a817017e99f4c,77,266,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-105876733,27947943142317072,1470266597379937811,0,1286903244814056880859264732399616,193918.0,,,,
23354209,2022-01-05 00:22:09,SWAP,0x14179df206ce86c48b3145cce0f1f23745dbb32fda9c78e8e697a4472f9cbb93,4,18,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2500000000,-659239836186690887,1470266597379937811,0,1286867720398981171241503168875600,193917.0,,,,
23354211,2022-01-05 00:22:13,SWAP,0x5e4e3eca6dbfd81e70739cfae5ec650167e4e97eba2b8140f0f7bbe5fac66973,21,69,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,1287346900,-339453947546109732,1470266597379937811,0,1286849428265724373956873447960763,193917.0,,,,
23354226,2022-01-05 00:22:43,SWAP,0xceda2f9d4a8cc87cd701a07fea5967c516f323fd0125b3ab222a846358ae900d,45,195,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,219772430,-57949708212001289,1470266597379937811,0,1286846305533487882704554486851470,193917.0,,,,
23354229,2022-01-05 00:22:49,SWAP,0x5ee1d582d39471313f41bd189a3bdd7d205f5be2d448286a7de65b4b8aa86273,107,353,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,338461537,-89245163606818537,1470266597379937811,0,1286841496385039258899638285119814,193917.0,,,,
23354234,2022-01-05 00:22:59,SWAP,0xb9a6d6dd5703865755972ce3dffa6cdf6c9e27e54011c7e35f80aa53f866f07b,3,14,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2500000000,-659176575042556985,1470266597379937811,0,1286805975378912795092634726359216,193916.0,,,,
23354234,2022-01-05 00:22:59,SWAP,0x405dea81c9f069237c7d6616a3b0c8b7723ddf14b8c3adb4c33ae616b3cf3b35,58,283,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,169230769,-44619868255039472,1470266597379937811,0,1286803570950913291409080586186508,193916.0,,,,
23354234,2022-01-05 00:22:59,SWAP,0xb0f9496003962847fd6b8e4a551bb3e85cbd0c98a25075882215a9ecaa74e730,59,296,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2200000000,-580043116645096035,1470266597379937811,0,1286772314204420694301839785079413,193916.0,,,,
23354234,2022-01-05 00:22:59,SWAP,0x1cdfba2ecc6326f8d64e6b50650a15e3aeb49b69aa7f25fdfece2811350a5761,60,325,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,169230768,-44617533628267056,1470266597379937811,0,1286769909902227074846830352516725,193915.0,,,,
23354241,2022-01-05 00:23:17,SWAP,0x7e18467936610f947af823205c7d32f05f40ed6bf53ce301f34fa03cf6cb933c,4,30,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,3803999316,-1002876869015421637,1470266597379937811,0,1286715867940244299943321990313890,193915.0,,,,
23354248,2022-01-05 00:23:31,SWAP,0x3144936bf757d384b08e805e2ec0f0fc894db52e63ca1f8daa7fa7853aa1dfb2,33,142,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2200000000,-579964053799068500,1470266597379937811,0,1286684615454206252420825747314026,193914.0,,,,
23354252,2022-01-05 00:23:39,SWAP,0x645915faa7050866cafac3f6dec5b9b8f088988e271aa2d923b48e900e05657a,22,76,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2200000000,-579935881490452149,1470266597379937811,0,1286653364486287605445006583871851,193914.0,,,,
23354257,2022-01-05 00:23:49,SWAP,0x209c5abd13d253ec56b6574041e6456e7222e8b7ea390fa7b88e864f65a488df,19,79,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2200000000,-579907711234531197,1470266597379937811,0,1286622115036377745549625647646561,193913.0,,,,
23354262,2022-01-05 00:23:59,SWAP,0x5cae2e46a53ca3ba233d99395d8f7ccc353696abcb30415d8a69de748fa6a196,54,172,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2200000000,-579879543031106230,1470266597379937811,0,1286590867104366070014231935621543,193913.0,,,,
23354273,2022-01-05 00:24:21,SWAP,0x7a4e4b315aac857d646d424e1705f27c5d0776e6f666de8bae49712484b6f1ef,24,88,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2200000000,-579851376879977859,1470266597379937811,0,1286559620690141986862857421876191,193912.0,,,,
23354275,2022-01-05 00:24:25,SWAP,0x9d80cf9fbfdc79169b300df295dbbd0dc103137ae85ebf09e74daa23134e3b8d,23,104,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,1429914400,-376865731404809096,1470266597379937811,0,1286539312550470579039770277916329,193912.0,,,,
23354277,2022-01-05 00:24:29,SWAP,0x0e2c9751967aa559a34137d29bb2d1cfce446c84d2ec27bf12c68a67279d128e,28,95,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2200000000,-579804908312677114,1470266597379937811,0,1286508068640295223152700962292436,193911.0,,,,
23354282,2022-01-05 00:24:39,SWAP,0xbf60e75533209f7a444c6089de6c2c6503c89ec6254520710bcf9a9ee0d37eb3,19,67,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,1436128000,-378473018994128450,1470266597379937811,0,1286487673888819833193153410158426,193911.0,,,,
23354291,2022-01-05 00:24:57,SWAP,0x4b0c9ebf783e3e1a472f1a65061bc440f44f089f38fd2bcc73472db5daa0b60f,60,199,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,-4841108560,1277136553385574456,1470266597379937811,0,1286556460454462800621601388375110,193912.0,,,,
23354308,2022-01-05 00:26:03,SWAP,0xbf65cc9261ed28f5528e82b9b78bcf1de0749ec3d6b8c29633b50a16a1d1a7fd,14,73,,0x6dd434082eab5cd134b33719ec1ff05fe985b97b,0x6dd434082eab5cd134b33719ec1ff05fe985b97b,-1503977639,396793297355359875,1470266597379937811,0,1286577831738624130028726836644228,193912.0,,,,
