block_number,block_timestamp,tx_type,transaction_hash,transaction_index,log_index,reserve,owner,amount,liquidator,debt_asset,debt_amount,atoken
52000862,2024-01-06 08:58:04,AAVE_WITHDRAW,0x0e2156e9fa31b4818c1665abfaa6545eb9c25d5fb7a0956f2400f710629f6859,57,1253,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,1000000000,,,,
52000885,2024-01-06 08:58:54,AAVE_WITHDRAW,0x081054a1222e9e1f2e54f4ac3f102b2b7f43e2dcddc5caee61b013cff9c316b8,46,198,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,1000000000,,,,
52000987,2024-01-06 09:02:54,AAVE_SUPPLY,0xf62bec9ac21014601291314decc5ebcd9231386767091e546ae664e4151b42cf,123,583,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x94000ec3f625312b9d1e05c1b9782172f0e851a0,1003664726,,,,
52001441,2024-01-06 09:20:12,AAVE_WITHDRAW,0x14c2fdaff903232b6e5608d516117717ce3285a9d91a98f49d8bbe133e41c285,50,157,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x7fb28e7a91cf9f9db9ef2b837e904e2dde514527,9890922,,,,
52001480,2024-01-06 09:21:34,AAVE_BORROW,0xa40e623b28b52184b27827dc904fa4fc52e4a044809e178b625a32892363b37f,66,328,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x9730241108a6b58eb16e8a0f0f7f2c19286c0e82,523501363,,,,
52001483,2024-01-06 09:21:40,AAVE_WITHDRAW,0xfc1f9b0d472ac8c1d9fce28b7b32d8beb88ba0b17849a4e77b9643fa4ff55745,22,127,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x593b093b342877604b7383926c0e5afde3473553,6932922935,,,,
52001612,2024-01-06 09:26:14,AAVE_WITHDRAW,0xc17e9bf34890a06dbc6402a6e9dd41d0239895d12543c1d775f37274cce3efab,45,452,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf13fd4951485f54462de0fb534851d9687d1adea,1093060000,,,,
52001660,2024-01-06 09:27:56,AAVE_SUPPLY,0xea6737e32a072ccb8b326dd45b6b618339789ec41c0587b649e533dfed4e8260,69,399,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x59a34b88bed6ea81c56e7125e2bdafc761b7b635,6066980764,,,,
52001680,2024-01-06 09:28:40,AAVE_SUPPLY,0x7dfb91c6d6237f23b32a115cc466a7cb16060964ce56b387014ee1ffbb2a0da0,136,996,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xadf92c85f5def9007e9481793c24c2e7443c980f,2500000000,,,,
52001737,2024-01-06 09:30:40,AAVE_SUPPLY,0xea1271f0a4da31dc7bd34ca1ce132227a33d0f8f2b4d36a549ca710c411b5b5f,61,238,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x87229818f4427f04efa9578d7d0314038227fb6d,100000000,,,,
52001781,2024-01-06 09:32:26,AAVE_WITHDRAW,0x57a54269b174987180edff9bf1236a3deb14d272dc1b153426031e2046edb55b,158,741,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,5000000000,,,,
52001837,2024-01-06 09:35:12,AAVE_WITHDRAW,0xfd13f675626174dcb04e7effd8a5bdf87d8cdb6d044f3d11988acb2f5daf2cac,140,655,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,60000000,,,,
52001942,2024-01-06 09:39:00,AAVE_REPAY,0x6ca39bbe1c8e7ceba429bc602245ccc586fa654b188a3195c44e2bf9291e811b,10,39,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x18c3827eec6510bf0d5a863923463a55411cd87a,8227380751,,,,0.0
52001985,2024-01-06 09:40:32,AAVE_BORROW,0x4b44f2cdf233e2372ae45c898c1cf7f9f61863fc29082d4133befc2282916010,84,1230,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x9730241108a6b58eb16e8a0f0f7f2c19286c0e82,300000000,,,,
52001992,2024-01-06 09:40:46,AAVE_SUPPLY,0x153e7eddb160ae945a003f700343e9e5171067fd337183c144cc5861e83016c3,43,1469,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x87229818f4427f04efa9578d7d0314038227fb6d,3000798,,,,
52002039,2024-01-06 09:42:26,AAVE_BORROW,0x65e91d4fae613d75011763b871646e78354dd691e3fdce107828ee430b829d5a,69,435,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x87229818f4427f04efa9578d7d0314038227fb6d,5000000000,,,,
52002083,2024-01-06 09:44:00,AAVE_REPAY,0x76995ec27d3563ac3002029a09dc8010df38b3f0071def5f830cde4f71690b41,44,1722,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x18c3827eec6510bf0d5a863923463a55411cd87a,13193100566,,,,0.0
52002087,2024-01-06 09:44:08,AAVE_SUPPLY,0x733f3e6dfa397af43dc42a26c5462cfd773f45b590e36cffa3f3349f6a6bcec9,157,707,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x87229818f4427f04efa9578d7d0314038227fb6d,5000000000,,,,
52002194,2024-01-06 09:48:03,AAVE_WITHDRAW,0xeed020191117c56ddb7dcb3a2c3c19e196b07e3e39f63ce19dd58ffc2206f99a,129,573,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf13fd4951485f54462de0fb534851d9687d1adea,2186200000,,,,
