block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
22843934,2021-12-22 22:07:11,MINT,0xfa4ad4c28651290b373493f0ff900110f8d8b6c7ddf927dce09a2be75293d8bb,28,206,207.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,337861219,72252475508967150,1861037874986961,81175484267214,1250314387959107646155521130363723,193341.0,136.0,192180.0,194700.0,81175484267214
22843954,2021-12-22 22:07:51,SWAP,0xef32e96fc75911ce0ebe716be45654fb22ebc350626e7ed1bdfdfdc0deb325d3,3,12,,0x2ec255797fef7669fa243509b7a599121148ffba,0x2ec255797fef7669fa243509b7a599121148ffba,-75537400,18833750000000000,1861037874986961,0,1251115778056587848583238715923290,193353.0,,,,
22843964,2021-12-22 22:08:11,SWAP,0x72bd9820c9785aff6a525593cb33477ee6bb75ecdeff39d63bcaac6af3de6ce8,31,168,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xebaf5741ab3df7aab87616ead8e2a55aef2c1c35,-164107602,41000000000000000,1914645194331944,0,1252839621127406462707683649186490,193381.0,,,,
22843969,2021-12-22 22:08:25,SWAP,0xd04bcfe165599cba8496019bf5eba5d186d3e8a1a857634567f5b4d3de75d231,11,133,,0x2ec255797fef7669fa243509b7a599121148ffba,0x2ec255797fef7669fa243509b7a599121148ffba,85894516,-21452201997543720,1861037874986961,0,1251947094796777198465686873876897,193367.0,,,,
22843970,2021-12-22 22:08:27,SWAP,0xd42242d41edfd0ee801c125887ac441c4e1431ef86c0cc387362d9d0170150d7,135,522,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,14490000,-3615851345804466,1861037874986961,0,1251793160660399224513176301282931,193364.0,,,,
22843976,2021-12-22 22:08:39,MINT,0xb90966fad18a69569afef0a81c059c334c8892be832aa2da3775bfd4fb3ef329,54,390,391.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,174532460,38804801257610554,1903739532228431,42701657241470,1251793160660399224513176301282931,193364.0,136.0,192180.0,194700.0,42701657241470
22843986,2021-12-22 22:08:59,SWAP,0x13ab28c9cc4e88ebc976275affa72d183dc95df390c343b2ad5ddc70a53f56fc,53,324,,0x11431a89893025d2a48dca4eddc396f8c8117187,0x11431a89893025d2a48dca4eddc396f8c8117187,91419617,-22792866955499726,1903739532228431,0,1250844587109897540570996536768379,193349.0,,,,
22844015,2021-12-22 22:09:57,SWAP,0x78521b97b791d26c9ae0669e41b9940950a86a2020d483058be7a6eaf7baefef,16,91,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-2569313,640753584567335,1903739532228431,0,1250871240097560059201161154430223,193350.0,,,,
22844052,2021-12-22 22:11:15,BURN,0x9e773d366e205b4beff97a3169bd6b5df5caa40b5e30b5740deb15cb7dc75ce1,64,412,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,1903739532228431,0,1250871240097560059201161154430223,193350.0,,193370.0,196150.0,0
22844052,2021-12-22 22:11:15,COLLECT,0x9e773d366e205b4beff97a3169bd6b5df5caa40b5e30b5740deb15cb7dc75ce1,64,415,416.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x18dbd3b6b20b12d25310426cb9bcfb3859503130,71830,12478618445779,1903739532228431,0,1250871240097560059201161154430223,193350.0,26.0,193370.0,196150.0,
